	sequences per sample	iteration	Amz22chld.418485	Amz25chld.418466	Amz26chld.418481	Amz29adlt.418370	Amz2adltF.418633	Amz30adlt.418837	Amz32eldF.418511	Amz4adltF.418711	Amz4chldM2.418774	Amz5chldF1.418757	Amz5chldF2.418405	Amz5teenF.418519	Amz6chldM.418668	Amz6eldF.418597	Amz6eldM.418356	Amz7eldM.418423	TS1.418828	TS109.418691	TS111.418684	TS127.418550	TS129.418618	TS13.418619	TS163.418636	TS184.418577	TS193.418750	TS195.418848	TS25.418407	TS4.418810	TS7.418860	USchp18Mom.418783	USchp1Mom.418814	USchp25Child.418345	USchp25Mom.418780	USchp33ChildB.418578	USchp36Mom.418718	USchp3Child.418614	USchp3Mom.418727	USchp4Mom.418666	h101M.1.418586	h10M.1.418706	h122M.1.418534	h146M.1.418838	h147M.1.418531	h165M.1.418394	h186M.1.418788	h208M.1.418731	h235M.1.418489	h257M.1.418454	h264M.1.418377	h273M.1.418507	h279M.1.418530	h305M.1.418771	h37M.1.418863	h60M.1.418694	h68M.1.418773	h78M.1.418725	h85M.1.418596	h95M.1.418831	h9M.1.418588	k278A.2.418424
alpha_rarefaction_10_0.txt	10	0	3.33827	2.59699	3.40061	2.37632	2.46652	3.26541	3.14651	3.05095	2.46042	2.71577	3.10617	3.42119	3.04996	2.38546	2.49448	3.07448	3.69852	2.54092	1.99457	2.7096	2.93357	1.76449	2.86271	2.51258	2.37973	2.64023	2.27507	2.70216	2.92461	2.32819	3.16771	2.53115	2.44107	2.22814	2.57563	2.90438	3.04846	2.98358	3.19092	2.63636	2.29796	3.54323	2.46545	2.7811	2.58129	3.20799	3.27292	2.74843	3.3071	2.71998	2.40044	2.5194	3.03163	3.22071	2.48251	2.95749	2.6457	2.63354	2.47187	2.82918
alpha_rarefaction_10_1.txt	10	1	2.98963	3.60888	3.49215	2.76275	2.47196	3.50116	2.42032	2.74198	2.49939	2.45056	2.63308	2.40259	2.68335	2.97627	2.75235	3.00694	3.67822	3.04139	2.80426	3.04596	3.12908	2.31244	2.32142	1.92248	1.97978	3.34484	2.60116	2.84108	3.13681	3.11484	2.67394	3.26589	2.82325	2.31775	3.04604	2.32923	2.54074	2.37275	2.40558	2.99178	2.79622	3.30889	2.68379	2.63796	2.64736	2.69355	3.32939	2.64007	2.78246	3.19851	2.85174	3.12606	3.52841	3.55214	2.77273	3.12815	2.93698	3.0307	2.81775	2.5125
alpha_rarefaction_10_2.txt	10	2	3.23425	3.17773	3.56315	2.47713	3.56039	2.20843	3.03116	2.86728	2.22144	2.45245	2.59956	3.56859	2.44021	2.77136	3.59649	3.35946	3.11657	2.12494	2.27531	3.10719	3.05756	2.48607	2.21161	1.99577	2.56862	2.92575	2.82193	2.98766	2.63671	2.67554	2.71553	3.25312	3.27831	2.15465	2.59391	2.89732	2.73067	2.82573	2.30442	2.91486	2.73696	2.82969	2.62817	3.03267	2.41771	2.79598	3.16159	2.79423	2.70482	2.53784	2.76792	3.57968	2.85879	3.39589	2.74452	2.19101	2.69493	2.76896	2.74983	2.76884
alpha_rarefaction_10_3.txt	10	3	2.88103	2.51021	3.33856	3.31093	3.4257	2.75178	2.51112	3.09298	2.33427	2.89539	2.41346	2.51357	2.92	3.08881	2.67111	1.89877	2.81965	2.60846	2.89779	2.33194	3.19366	2.52631	2.36345	2.04983	2.86951	2.28038	3.19322	2.24505	2.30143	2.83216	2.7792	2.59234	2.81668	2.35979	2.92008	2.64236	3.02367	2.04309	2.78716	3.11884	2.7463	2.94665	2.51923	2.76626	2.49358	2.84033	2.85611	2.71424	2.62368	2.78981	2.88853	3.08712	3.09528	3.36574	2.92851	2.27821	3.19893	3.17067	2.69001	3.615
alpha_rarefaction_10_4.txt	10	4	2.88533	2.78689	1.90156	2.32217	2.79418	3.12603	3.08892	2.72854	2.60795	2.8735	2.42773	3.04183	3.10215	2.71772	2.92046	2.262	2.48642	2.42262	3.49332	2.3289	2.79021	1.89341	2.66938	2.45089	2.10814	3.21104	2.75451	2.0532	2.77731	3.43023	2.87224	2.89784	3.01656	2.38326	1.93945	2.9865	2.81373	2.58585	2.78421	2.55009	2.62557	3.39746	2.8046	2.74146	3.33964	2.81838	3.73467	2.35522	2.98772	2.55193	3.33164	3.64102	3.04463	2.96546	2.42294	2.82115	2.99439	3.24175	3.04185	2.90387
alpha_rarefaction_10_5.txt	10	5	2.97271	3.24008	2.39459	3.11445	2.46526	2.88335	3.42362	2.93414	2.33792	2.64866	3.15193	3.1428	2.84687	3.33583	2.75605	2.33113	2.55979	2.51187	2.20105	3.08894	2.56927	2.54521	2.25842	2.07377	2.52908	3.1059	3.12007	2.03498	3.34525	1.88714	3.14853	2.56269	2.54179	2.62199	2.93458	3.40425	3.63995	2.11366	2.53438	3.36964	2.97473	3.16202	2.85946	2.61718	2.40971	2.21847	3.28259	2.50183	2.18585	3.18042	3.42449	3.11909	3.18885	2.67991	3.09464	2.85829	2.70609	3.16231	2.59042	3.25227
alpha_rarefaction_10_6.txt	10	6	2.77464	2.73545	3.37173	2.3387	2.22263	2.59339	2.7607	3.94138	2.24148	2.40167	3.14293	2.93389	2.82515	2.62024	4.00182	2.52283	3.09525	2.00841	2.50404	2.84166	2.28711	2.93173	2.57743	2.31621	3.02781	2.38677	2.88537	2.42956	2.99663	2.95728	3.23084	3.26207	1.3688	2.39415	2.5696	3.02824	2.33312	2.51774	2.67127	2.84129	2.29822	2.85975	2.38	3.00778	2.73482	2.50417	1.93273	2.23073	2.4082	2.86	2.79231	3.55336	3.20946	2.70659	3.02919	3.15655	2.74773	3.02117	2.72739	3.17858
alpha_rarefaction_10_7.txt	10	7	2.95139	3.2946	3.44001	3.52331	2.69357	3.18022	2.91766	3.06225	2.3154	2.30931	2.35787	3.08337	3.25627	2.6219	2.98925	2.55691	3.07922	2.38649	2.4362	2.0726	2.95607	2.47384	2.95943	2.71426	2.39555	2.51996	3.24472	2.38723	3.11528	2.72903	2.93754	3.26313	2.96547	2.69618	2.67785	3.06496	3.01792	2.33407	2.90912	2.67164	2.7033	3.51042	2.52946	2.6113	3.04379	2.65758	3.3194	2.27449	2.41242	2.28514	2.40579	3.71077	2.47366	2.59206	2.40654	2.33333	2.81584	2.72178	3.10141	2.33028
alpha_rarefaction_10_8.txt	10	8	2.18063	2.61725	3.3785	2.3897	1.95943	3.26291	2.81282	2.2586	2.66943	2.4941	3.3683	2.56573	2.7206	2.78635	2.66965	3.35975	3.01142	2.99201	2.42722	3.14353	2.40895	2.86409	3.05588	3.02565	2.78919	2.9875	2.70901	2.86553	2.55295	2.48792	3.17645	2.26863	2.90348	2.34098	2.84527	2.01898	2.86339	2.81536	2.58895	2.85346	2.31577	2.90529	3.24633	2.59424	3.27352	2.4538	2.97771	2.71934	2.99121	3.36565	2.5159	3.61991	2.89665	3.47403	2.53391	2.99695	2.64616	2.34805	3.15616	2.76051
alpha_rarefaction_10_9.txt	10	9	2.77953	2.88945	2.80914	3.24389	1.99956	2.73742	2.72447	3.08219	2.93707	1.95507	2.88927	2.10462	2.78239	3.17121	2.33842	2.41239	2.82381	2.54145	3.18311	2.38126	2.40862	2.30729	2.85493	2.20228	3.10325	2.76217	2.87397	2.52289	2.93071	3.13197	3.16972	2.57064	2.97662	2.29747	2.9476	2.9245	3.19598	2.30087	3.0924	2.36816	2.40491	3.22564	2.89349	2.72775	3.25536	2.30162	3.19795	1.89083	2.97081	2.90681	3.05744	3.44897	4.1634	3.02324	2.37479	2.49568	2.32194	3.50496	2.81664	2.75282
