	sequences per sample	iteration	Amz22chld.418485	Amz25chld.418466	Amz26chld.418481	Amz29adlt.418370	Amz2adltF.418633	Amz30adlt.418837	Amz32eldF.418511	Amz4adltF.418711	Amz4chldM2.418774	Amz5chldF1.418757	Amz5chldF2.418405	Amz5teenF.418519	Amz6chldM.418668	Amz6eldF.418597	Amz6eldM.418356	Amz7eldM.418423	TS1.418828	TS109.418691	TS111.418684	TS127.418550	TS129.418618	TS13.418619	TS163.418636	TS184.418577	TS193.418750	TS195.418848	TS25.418407	TS4.418810	TS7.418860	USchp18Mom.418783	USchp1Mom.418814	USchp25Child.418345	USchp25Mom.418780	USchp33ChildB.418578	USchp36Mom.418718	USchp3Child.418614	USchp3Mom.418727	USchp4Mom.418666	h101M.1.418586	h10M.1.418706	h122M.1.418534	h146M.1.418838	h147M.1.418531	h165M.1.418394	h186M.1.418788	h208M.1.418731	h235M.1.418489	h257M.1.418454	h264M.1.418377	h273M.1.418507	h279M.1.418530	h305M.1.418771	h37M.1.418863	h60M.1.418694	h68M.1.418773	h78M.1.418725	h85M.1.418596	h95M.1.418831	h9M.1.418588	k278A.2.418424
alpha_rarefaction_10_0.txt	10	0	55.0	23.0	55.0	13.0	23.0	29.0	23.0	29.0	23.0	55.0	55.0	55.0	29.0	29.0	55.0	23.0	55.0	55.0	13.0	23.0	55.0	29.0	23.0	55.0	55.0	55.0	23.0	13.0	55.0	55.0	55.0	29.0	23.0	29.0	55.0	55.0	23.0	23.0	13.0	55.0	13.0	55.0	23.0	55.0	55.0	55.0	23.0	23.0	55.0	55.0	29.0	16.0	23.0	55.0	29.0	23.0	29.0	9.0	29.0	55.0
alpha_rarefaction_10_1.txt	10	1	23.0	55.0	55.0	23.0	23.0	55.0	23.0	12.0	55.0	23.0	23.0	23.0	23.0	55.0	55.0	55.0	55.0	55.0	23.0	23.0	55.0	23.0	23.0	13.0	23.0	55.0	55.0	13.0	55.0	55.0	55.0	55.0	23.0	55.0	55.0	12.0	13.0	29.0	8.5	23.0	12.0	55.0	23.0	55.0	23.0	55.0	23.0	23.0	55.0	55.0	55.0	55.0	55.0	55.0	23.0	12.0	55.0	29.0	23.0	23.0
alpha_rarefaction_10_2.txt	10	2	55.0	55.0	55.0	29.0	23.0	13.0	55.0	23.0	23.0	55.0	23.0	55.0	55.0	55.0	23.0	23.0	55.0	13.0	55.0	23.0	23.0	55.0	55.0	55.0	23.0	23.0	55.0	55.0	23.0	13.0	23.0	55.0	55.0	23.0	55.0	23.0	23.0	23.0	13.0	55.0	23.0	55.0	23.0	23.0	23.0	23.0	55.0	55.0	13.0	23.0	55.0	55.0	55.0	55.0	23.0	29.0	55.0	23.0	55.0	23.0
alpha_rarefaction_10_3.txt	10	3	55.0	55.0	55.0	23.0	55.0	55.0	29.0	55.0	55.0	23.0	55.0	55.0	23.0	55.0	55.0	23.0	55.0	23.0	55.0	23.0	55.0	55.0	55.0	55.0	55.0	29.0	55.0	13.0	16.0	23.0	23.0	23.0	55.0	13.0	13.0	12.0	55.0	13.0	12.0	23.0	12.0	55.0	23.0	23.0	55.0	55.0	23.0	55.0	23.0	55.0	55.0	23.0	29.0	55.0	12.0	23.0	55.0	23.0	13.0	55.0
alpha_rarefaction_10_4.txt	10	4	55.0	29.0	23.0	29.0	55.0	55.0	55.0	55.0	23.0	55.0	55.0	55.0	55.0	23.0	13.0	23.0	29.0	55.0	55.0	23.0	55.0	29.0	55.0	55.0	13.0	55.0	23.0	13.0	55.0	55.0	55.0	23.0	55.0	23.0	55.0	55.0	23.0	55.0	13.0	55.0	55.0	55.0	23.0	13.0	55.0	23.0	55.0	55.0	55.0	23.0	55.0	23.0	55.0	55.0	23.0	55.0	55.0	23.0	55.0	55.0
alpha_rarefaction_10_5.txt	10	5	55.0	23.0	23.0	55.0	29.0	23.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	13.0	29.0	55.0	55.0	23.0	55.0	55.0	55.0	23.0	55.0	23.0	23.0	23.0	13.0	55.0	55.0	55.0	23.0	23.0	55.0	55.0	55.0	55.0	12.0	29.0	55.0	23.0	23.0	13.0	13.0	23.0	23.0	55.0	23.0	22.0	55.0	55.0	23.0	23.0	23.0	55.0	55.0	55.0	55.0	13.0	55.0
alpha_rarefaction_10_6.txt	10	6	55.0	23.0	55.0	55.0	23.0	55.0	23.0	23.0	13.0	23.0	55.0	55.0	55.0	23.0	55.0	55.0	23.0	13.0	55.0	55.0	23.0	55.0	55.0	13.0	55.0	23.0	55.0	23.0	55.0	13.0	55.0	23.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	29.0	55.0	23.0	55.0	23.0	23.0	23.0	55.0	55.0	55.0	55.0	55.0	23.0	23.0	23.0	23.0	55.0	55.0	23.0	55.0
alpha_rarefaction_10_7.txt	10	7	55.0	55.0	55.0	55.0	55.0	23.0	55.0	23.0	23.0	12.0	23.0	55.0	55.0	23.0	55.0	23.0	23.0	55.0	55.0	55.0	23.0	55.0	55.0	55.0	23.0	55.0	55.0	29.0	55.0	23.0	55.0	55.0	13.0	55.0	55.0	55.0	23.0	23.0	55.0	23.0	23.0	55.0	23.0	55.0	55.0	55.0	23.0	13.0	29.0	8.5	55.0	55.0	55.0	55.0	55.0	12.0	55.0	13.0	55.0	55.0
alpha_rarefaction_10_8.txt	10	8	55.0	55.0	55.0	23.0	16.0	55.0	29.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	23.0	23.0	55.0	55.0	55.0	55.0	55.0	55.0	23.0	23.0	55.0	55.0	55.0	23.0	23.0	23.0	13.0	55.0	55.0	29.0	23.0	55.0	23.0	8.5	29.0	55.0	55.0	29.0	55.0	55.0	55.0	23.0	55.0	55.0	12.0	55.0	23.0	55.0	29.0	55.0	23.0	55.0	55.0	55.0
alpha_rarefaction_10_9.txt	10	9	23.0	55.0	23.0	23.0	16.0	55.0	23.0	55.0	55.0	29.0	13.0	13.0	55.0	55.0	55.0	55.0	23.0	55.0	55.0	55.0	23.0	23.0	55.0	55.0	23.0	23.0	55.0	55.0	55.0	55.0	55.0	23.0	55.0	22.0	55.0	55.0	55.0	23.0	55.0	23.0	29.0	55.0	55.0	23.0	55.0	13.0	29.0	23.0	55.0	55.0	55.0	55.0	55.0	23.0	23.0	23.0	55.0	55.0	55.0	23.0
