	Amz22chld.418485	Amz25chld.418466	Amz26chld.418481	Amz29adlt.418370	Amz2adltF.418633	Amz30adlt.418837	Amz32eldF.418511	Amz4adltF.418711	Amz4chldM2.418774	Amz5chldF1.418757	Amz5chldF2.418405	Amz5teenF.418519	Amz6chldM.418668	Amz6eldF.418597	Amz6eldM.418356	Amz7eldM.418423	TS1.418828	TS109.418691	TS111.418684	TS127.418550	TS129.418618	TS13.418619	TS163.418636	TS184.418577	TS193.418750	TS195.418848	TS25.418407	TS4.418810	TS7.418860	USchp18Mom.418783	USchp1Mom.418814	USchp25Child.418345	USchp25Mom.418780	USchp33ChildB.418578	USchp36Mom.418718	USchp3Child.418614	USchp3Mom.418727	USchp4Mom.418666	h101M.1.418586	h10M.1.418706	h122M.1.418534	h146M.1.418838	h147M.1.418531	h165M.1.418394	h186M.1.418788	h208M.1.418731	h235M.1.418489	h257M.1.418454	h264M.1.418377	h273M.1.418507	h279M.1.418530	h305M.1.418771	h37M.1.418863	h60M.1.418694	h68M.1.418773	h78M.1.418725	h85M.1.418596	h95M.1.418831	h9M.1.418588	k278A.2.418424
Amz22chld.418485	0.0	0.579705632238	0.65931363374	0.661389145094	0.706374402438	0.672464175339	0.669176605019	0.646352582599	0.614821506074	0.636052273495	0.623373051784	0.648655698457	0.654589137732	0.656150585345	0.682353156575	0.6516756516	0.74854922936	0.723323557078	0.717294693386	0.721942384882	0.7148570722	0.705105646545	0.710416751315	0.744364225051	0.72658108969	0.747039777342	0.720688028426	0.757180504387	0.701554628016	0.726388259563	0.688696259278	0.683732015931	0.680892307194	0.727761441857	0.722672639495	0.714456001585	0.725094345673	0.696834256454	0.677167073003	0.675063396089	0.713059698478	0.676701380123	0.671819804304	0.672405014797	0.673274039151	0.690084834668	0.731244418131	0.713395544875	0.706628962816	0.72889449229	0.698742601784	0.745331196914	0.669047517215	0.675305054711	0.699157519502	0.712280203083	0.662705286816	0.699643665033	0.69777706597	0.671031743974
Amz25chld.418466	0.579705632238	0.0	0.689969932452	0.647993565879	0.678943599112	0.694602799725	0.632552750618	0.688295955516	0.636910147895	0.658782809551	0.6599485462	0.641037857808	0.688884003185	0.674541241644	0.668424483637	0.682164729492	0.754665961703	0.771364614314	0.734340915351	0.727999692669	0.74354621789	0.738013115382	0.776715421802	0.774840577998	0.75893794841	0.754026037288	0.753504080468	0.79646576687	0.735965689587	0.763336313911	0.730490482168	0.734624441929	0.753262034927	0.760421246433	0.759881837205	0.760004270866	0.744563517913	0.744521220768	0.674872273975	0.66098564507	0.656098981047	0.66103655324	0.693027852303	0.665827057271	0.645016433353	0.653414925371	0.709527961285	0.749196149642	0.686118769792	0.687023143256	0.690705870129	0.739418894841	0.654122880574	0.659241037107	0.69392836387	0.70166952171	0.655140425551	0.695592289066	0.715288108903	0.713874350297
Amz26chld.418481	0.65931363374	0.689969932452	0.0	0.635985578752	0.698024537835	0.632615403516	0.656597914398	0.624618525197	0.651621355768	0.680999758544	0.627618182088	0.618315576184	0.617049288641	0.659089494101	0.628146844215	0.638890531901	0.716659859358	0.762486187647	0.720798710479	0.749622293971	0.745147152016	0.724629594553	0.771948017894	0.818390619119	0.74563400303	0.785085726845	0.731478378087	0.812717486418	0.720261254683	0.769896942164	0.723541678841	0.719335379121	0.753505608877	0.778480186055	0.747613429531	0.754910501964	0.74955383607	0.772471792368	0.702382079402	0.687229288	0.685202639324	0.64683518991	0.653659082766	0.722129066704	0.675454838057	0.677885520455	0.704179655441	0.771398150495	0.674406238719	0.68497976771	0.725098786361	0.696094209065	0.643072115467	0.723530880297	0.691160412258	0.71902260537	0.618363108933	0.652204502672	0.725729124276	0.723100162021
Amz29adlt.418370	0.661389145094	0.647993565879	0.635985578752	0.0	0.653377169415	0.689999406551	0.677757592633	0.694723480064	0.666948943713	0.657751728151	0.67503352912	0.637309007759	0.625943935293	0.642091533253	0.663373777322	0.70003958186	0.79855380802	0.790034696805	0.742804058733	0.763069200347	0.781385658646	0.75858320636	0.800917282542	0.801664262724	0.770998443471	0.792098994393	0.777356094492	0.821022308336	0.748446224594	0.796894699306	0.743570770964	0.767221269519	0.771870286193	0.771817537817	0.793982254168	0.800805241349	0.770412766006	0.762199339868	0.703533135069	0.685690040274	0.648546038867	0.653291314534	0.687579718916	0.732447169378	0.669990074247	0.693973178851	0.678011711287	0.779410830857	0.689311864053	0.658789725214	0.707443444271	0.747320464563	0.662728778751	0.69539782404	0.703066297115	0.692035622369	0.652360915564	0.656122183493	0.712603261158	0.694948020408
Amz2adltF.418633	0.706374402438	0.678943599112	0.698024537835	0.653377169415	0.0	0.730499655514	0.707627468541	0.730853813097	0.70248450792	0.649133256505	0.65849445091	0.670016702251	0.64626710506	0.663869178821	0.687919567454	0.687931567447	0.800922058047	0.820127364308	0.792795608035	0.788780683816	0.80706435792	0.813333289724	0.809521284774	0.83169176936	0.81032187407	0.810078264159	0.808400982012	0.850860573526	0.799350583513	0.815809271594	0.770121723565	0.785727622797	0.804750031872	0.823375791517	0.784698839656	0.809566300225	0.819265703161	0.818510556534	0.694499545382	0.687045852395	0.644037056804	0.679599387756	0.652299818704	0.730545113292	0.660476247205	0.658199211196	0.658951521618	0.776325631117	0.727013395211	0.656727136427	0.62540255056	0.733620907621	0.619623862976	0.673768191759	0.678307916077	0.679521735317	0.691719868221	0.669769790568	0.672759825811	0.692040311008
Amz30adlt.418837	0.672464175339	0.694602799725	0.632615403516	0.689999406551	0.730499655514	0.0	0.695252091157	0.614033424554	0.642146741596	0.697849542455	0.630260580256	0.668382862782	0.634327472842	0.698709932682	0.63634343003	0.678676818119	0.724368520804	0.77592796148	0.743388481966	0.710661430102	0.74943791765	0.726890889989	0.754354115494	0.779322840497	0.759152740892	0.751947391943	0.703179886828	0.775650133213	0.711446909303	0.741295461094	0.694635866465	0.699606799156	0.710844247932	0.74015700268	0.742244363624	0.716848166098	0.711486947469	0.73765922035	0.684164686179	0.655483267049	0.658447653418	0.677261382442	0.646968714352	0.694274818214	0.701344816651	0.686574521992	0.701499167098	0.735942772239	0.65277610062	0.678195308134	0.72669378935	0.689729006529	0.638953951158	0.702771027048	0.6929600344	0.75580712446	0.6592944692	0.684961037621	0.746228434167	0.722252527055
Amz32eldF.418511	0.669176605019	0.632552750618	0.656597914398	0.677757592633	0.707627468541	0.695252091157	0.0	0.644230657404	0.651942844383	0.681177592581	0.636878893823	0.651698388139	0.685164392653	0.70251330326	0.672878061755	0.665752496605	0.708121270225	0.759888291809	0.68698839851	0.720332747859	0.723192968718	0.731679976847	0.781209741287	0.804794798097	0.748383158767	0.724358316036	0.725486361704	0.799147761118	0.719106039978	0.76911298392	0.71149666963	0.724651921381	0.755885161833	0.770988271506	0.74631043175	0.738343215912	0.725076323874	0.752130092445	0.679907329583	0.675941365184	0.685092802461	0.682131415816	0.71508628488	0.703993466647	0.683967764178	0.704095478464	0.694065280084	0.783988114846	0.731474378896	0.708207909037	0.726034491591	0.721306773783	0.661203217017	0.678546228485	0.69744669475	0.7636498331	0.648387963469	0.71578381262	0.739099762958	0.727575750569
Amz4adltF.418711	0.646352582599	0.688295955516	0.624618525197	0.694723480064	0.730853813097	0.614033424554	0.644230657404	0.0	0.670780605688	0.71638067375	0.603970099815	0.652253941218	0.667808154713	0.644940690913	0.582570240449	0.623476642672	0.716790172234	0.805464346855	0.73699174376	0.727488450629	0.768553572333	0.752360523044	0.782247979953	0.818915689806	0.774710000948	0.79952541019	0.735098436399	0.815927759873	0.749837953825	0.783130353129	0.753940932903	0.742870197025	0.747878262243	0.787308219779	0.739739154528	0.769194022726	0.731825087406	0.766134057018	0.695198470141	0.670499393641	0.708899644105	0.683250760343	0.66967796364	0.733092814153	0.686831225987	0.69005669106	0.693015624698	0.793191863965	0.677322030771	0.721773816412	0.737950177579	0.673661062324	0.671705772295	0.725626598956	0.657157742105	0.766823694918	0.641557984297	0.675618865975	0.74392376067	0.723530502187
Amz4chldM2.418774	0.614821506074	0.636910147895	0.651621355768	0.666948943713	0.70248450792	0.642146741596	0.651942844383	0.670780605688	0.0	0.564200757177	0.593192471986	0.617120881602	0.63372918384	0.632717496416	0.655798802572	0.599442525025	0.762283368329	0.732505975222	0.722519698235	0.740614122005	0.726308896057	0.691687233873	0.730011311565	0.769640233189	0.71872641955	0.757795341301	0.715920039347	0.755495047337	0.693045853031	0.703098201754	0.671042434246	0.653940719272	0.682324852448	0.701863676043	0.715903640091	0.722063199239	0.711504235705	0.705007286719	0.663997280605	0.649645352803	0.649938833175	0.662518167846	0.665166438461	0.642207406779	0.667594065961	0.628144827893	0.688856708011	0.693327643682	0.685770925933	0.676438469101	0.667595478726	0.738797863941	0.636813192677	0.667269040331	0.664645717163	0.669031406137	0.65149807417	0.663652232516	0.695585261991	0.61847282254
Amz5chldF1.418757	0.636052273495	0.658782809551	0.680999758544	0.657751728151	0.649133256505	0.697849542455	0.681177592581	0.71638067375	0.564200757177	0.0	0.612292855207	0.635259135724	0.635951730203	0.632217624795	0.699082825043	0.638907725171	0.757665142879	0.743406321845	0.738355466798	0.769878507986	0.762092914661	0.738424143888	0.76195449119	0.783406842438	0.7365773611	0.757261895189	0.77651771836	0.791412125682	0.71376185451	0.740671838149	0.689130664876	0.709054583697	0.713318854782	0.727548607456	0.761526083266	0.769210728217	0.746197118742	0.72803957548	0.677167256388	0.665141460292	0.64221584832	0.66381226978	0.633647072014	0.627478776051	0.664711595397	0.66342374285	0.695987176822	0.712695410643	0.74587782387	0.679516438355	0.636627211803	0.757931220454	0.638918944602	0.667878072302	0.669618570083	0.665207024549	0.664123932759	0.686935752011	0.69951082547	0.591680407289
