	Amz22chld.418485	Amz25chld.418466	Amz26chld.418481	Amz29adlt.418370	Amz2adltF.418633	Amz30adlt.418837	Amz32eldF.418511	Amz4adltF.418711	Amz4chldM2.418774	Amz5chldF1.418757	Amz5chldF2.418405	Amz5teenF.418519	Amz6chldM.418668	Amz6eldF.418597	Amz6eldM.418356	Amz7eldM.418423	TS1.418828	TS109.418691	TS111.418684	TS127.418550	TS129.418618	TS13.418619	TS163.418636	TS184.418577	TS193.418750	TS195.418848	TS25.418407	TS4.418810	TS7.418860	USchp18Mom.418783	USchp1Mom.418814	USchp25Child.418345	USchp25Mom.418780	USchp33ChildB.418578	USchp36Mom.418718	USchp3Child.418614	USchp3Mom.418727	USchp4Mom.418666	h101M.1.418586	h10M.1.418706	h122M.1.418534	h146M.1.418838	h147M.1.418531	h165M.1.418394	h186M.1.418788	h208M.1.418731	h235M.1.418489	h257M.1.418454	h264M.1.418377	h273M.1.418507	h279M.1.418530	h305M.1.418771	h37M.1.418863	h60M.1.418694	h68M.1.418773	h78M.1.418725	h85M.1.418596	h95M.1.418831	h9M.1.418588	k278A.2.418424
Amz22chld.418485	0.0	0.23557464	0.24380994	0.39806516	0.59440068	0.29760778	0.3234181	0.42938676	0.35434888	0.42094956	0.21351048	0.42464336	0.29844334	0.37503638	0.39395206	0.30384924	0.3632779	0.43857184	0.30419258	0.32026982	0.31654868	0.25135248	0.37875578	0.40624608	0.2470707	0.37952566	0.343843	0.63148416	0.28565182	0.35187986	0.31929594	0.39902696	0.32417654	0.52318914	0.35414222	0.48269024	0.46616474	0.39711616	0.41222056	0.29274466	0.53129982	0.38224808	0.47965982	0.40698738	0.3849608	0.37668204	0.40272528	0.4254574	0.3002118	0.33239376	0.49346206	0.3253489	0.37902898	0.30349362	0.52726384	0.52244786	0.37469954	0.40028156	0.498219	0.55427642
Amz25chld.418466	0.23557464	0.0	0.23779726	0.33925136	0.46772768	0.29380438	0.3420021	0.46464696	0.22394036	0.29487172	0.24886396	0.2951032	0.19839942	0.25950854	0.27024154	0.19255308	0.33987262	0.37086056	0.28731458	0.35544306	0.2844584	0.35012928	0.31925814	0.34902228	0.35007826	0.31772934	0.320086	0.55094348	0.24008718	0.42245862	0.2595235	0.3146948	0.31523054	0.45938258	0.30326846	0.40357468	0.38404766	0.3368572	0.28728932	0.19061342	0.3891695	0.24137228	0.34908006	0.27948602	0.25649352	0.2377626	0.28463272	0.31863388	0.23640088	0.21629816	0.36295018	0.28836694	0.24563902	0.24340262	0.39703	0.38949842	0.2388595	0.2691206	0.3752274	0.4271245
Amz26chld.418481	0.24380994	0.23779726	0.0	0.31832558	0.52850278	0.24577116	0.3000724	0.38054226	0.31238126	0.39004154	0.21098546	0.34660814	0.2296694	0.30842112	0.32566516	0.26412634	0.35502184	0.43893666	0.31589356	0.35128244	0.33269378	0.32775754	0.353886	0.43526254	0.33690964	0.37466968	0.3467063	0.61795062	0.2972896	0.39038904	0.29961496	0.34960786	0.3495362	0.49942324	0.34401712	0.44828254	0.42241208	0.37362774	0.36487442	0.25800416	0.46889468	0.32175074	0.400352	0.37937576	0.34191962	0.33413826	0.32960026	0.40792526	0.26769866	0.28988718	0.4476428	0.29641492	0.33101288	0.25711292	0.4779103	0.46832492	0.34185756	0.33907602	0.44330694	0.50533444
Amz29adlt.418370	0.39806516	0.33925136	0.31832558	0.0	0.47778832	0.38233426	0.2565319	0.37934556	0.4061718	0.44282412	0.38252384	0.4178316	0.3116617	0.30476082	0.38946562	0.40583952	0.49107262	0.48602188	0.4174999	0.46495718	0.4372408	0.49109524	0.47937146	0.48373284	0.47654674	0.47127146	0.44952056	0.58877692	0.4104823	0.53201818	0.42350426	0.46086416	0.4835071	0.54179438	0.47303626	0.50533508	0.49296506	0.43619552	0.33746796	0.33329614	0.32270394	0.36634096	0.45388798	0.46248062	0.39372896	0.39260944	0.32517896	0.49617828	0.37340128	0.38041384	0.35987242	0.41168874	0.4027895	0.32817918	0.45711936	0.4578781	0.40043538	0.29456384	0.46464092	0.49312126
Amz2adltF.418633	0.59440068	0.46772768	0.52850278	0.47778832	0.0	0.56462918	0.55473174	0.60631416	0.391402	0.32131612	0.56320376	0.32624124	0.42597858	0.39365242	0.46566538	0.49840236	0.64352102	0.45425992	0.58962866	0.64163914	0.58583012	0.67046048	0.54305486	0.52565428	0.65531106	0.56093702	0.62840704	0.41119904	0.5462959	0.72576894	0.57448234	0.5117258	0.64950386	0.42590822	0.5759301	0.50855392	0.52139186	0.54579312	0.3841944	0.4528639	0.3688287	0.37422264	0.38063214	0.38470534	0.36575308	0.34898412	0.45657896	0.35700204	0.50778356	0.45819488	0.34499778	0.58979126	0.4192347	0.48606638	0.25704848	0.2473939	0.38148362	0.42818456	0.31108972	0.29067026
Amz30adlt.418837	0.29760778	0.29380438	0.24577116	0.38233426	0.56462918	0.0	0.32026764	0.37635666	0.35044958	0.43629878	0.26349158	0.38644642	0.2651014	0.36945936	0.34196928	0.3276517	0.34179412	0.42401134	0.30918588	0.33740772	0.3188175	0.35155098	0.3310582	0.40705758	0.35271536	0.36545812	0.3404957	0.57947186	0.31070708	0.37480228	0.29593328	0.35521386	0.3457234	0.4877738	0.33820444	0.40527698	0.40299928	0.35219566	0.38955258	0.29075088	0.5082942	0.37570058	0.40653504	0.40463856	0.36991218	0.36514434	0.3790885	0.44756798	0.25705134	0.33604802	0.4828434	0.30258108	0.36267196	0.32750652	0.50895602	0.52673252	0.3507308	0.37475918	0.48428202	0.4979556
Amz32eldF.418511	0.3234181	0.3420021	0.3000724	0.2565319	0.55473174	0.32026764	0.0	0.2914605	0.42081454	0.4807335	0.34538846	0.44917666	0.31317976	0.35468488	0.39637196	0.40396522	0.41248248	0.45358646	0.35205612	0.34701356	0.37649242	0.38794866	0.42566848	0.44858678	0.3698318	0.41219164	0.3850537	0.60557798	0.39096024	0.43372532	0.41409792	0.46584594	0.4420688	0.54276528	0.41037316	0.4751997	0.4494864	0.40084726	0.36899802	0.34281792	0.4358064	0.39252554	0.52647484	0.47016456	0.41270474	0.40792782	0.37087234	0.51947054	0.3476055	0.4074941	0.44680932	0.38973324	0.4186828	0.31526008	0.5094269	0.53818628	0.40545048	0.34228794	0.52749034	0.56658396
Amz4adltF.418711	0.42938676	0.46464696	0.38054226	0.37934556	0.60631416	0.37635666	0.2914605	0.0	0.5352514	0.58864888	0.44354064	0.5345952	0.4172567	0.34700162	0.4689223	0.47771564	0.5087565	0.56390348	0.4575509	0.44078234	0.49404312	0.48789848	0.5008731	0.55762008	0.47515162	0.54220282	0.48234396	0.66640072	0.51893746	0.4874231	0.50381418	0.52988208	0.54367982	0.6230109	0.50662758	0.54501568	0.52162438	0.47541816	0.45072592	0.42071298	0.4854885	0.4671992	0.5228989	0.58548122	0.49112632	0.49303376	0.42955468	0.6124226	0.42993964	0.49928384	0.48320494	0.46025534	0.51630974	0.41928918	0.5340692	0.58439094	0.51252066	0.40215292	0.51994892	0.57171654
Amz4chldM2.418774	0.35434888	0.22394036	0.31238126	0.4061718	0.391402	0.35044958	0.42081454	0.5352514	0.0	0.19212568	0.29830476	0.18762464	0.2399397	0.30403898	0.28936882	0.24753032	0.4024637	0.30995128	0.35958686	0.43761346	0.34127672	0.4063616	0.29363818	0.32154756	0.40280602	0.31817606	0.38211428	0.49244468	0.28502058	0.44574686	0.30322982	0.263665	0.36361386	0.38201226	0.32836974	0.36220432	0.32901626	0.33504732	0.28370796	0.26707394	0.36942334	0.24193656	0.25594614	0.19289358	0.2011026	0.20460184	0.34731272	0.22160428	0.31724904	0.25543292	0.29993686	0.37586762	0.24965674	0.30558574	0.3383354	0.32226798	0.18370518	0.32556188	0.29954152	0.31943658
Amz5chldF1.418757	0.42094956	0.29487172	0.39004154	0.44282412	0.32131612	0.43629878	0.4807335	0.58864888	0.19212568	0.0	0.34972852	0.17910556	0.31525898	0.33265002	0.34834334	0.2848878	0.47874874	0.3159786	0.44630946	0.51188842	0.43852732	0.4537746	0.38614934	0.39585352	0.50030834	0.39263374	0.4772016	0.47885376	0.37431998	0.55105718	0.38280522	0.30368324	0.45462466	0.35536798	0.40179382	0.37491884	0.3696379	0.41825056	0.29361836	0.32054302	0.3730483	0.24875588	0.25600186	0.19581486	0.22330636	0.214558	0.36354032	0.1767048	0.36866236	0.27458132	0.30282786	0.44924994	0.26667406	0.34479078	0.244909	0.25405494	0.2201315	0.344392	0.25390572	0.26069894
